date,description,merchant,amount,category,account_id
2025-01-28,Salary - ACME Ltd,ACME LTD PAYROLL,2100.00,INCOME,1
2025-02-28,Salary - ACME Ltd,ACME LTD PAYROLL,2100.00,INCOME,1
2025-03-28,Salary - ACME Ltd,ACME LTD PAYROLL,2100.00,INCOME,1
2025-01-01,Rent Payment,LANDLORD RENT,-850.00,RENT,1
2025-02-01,Rent Payment,LANDLORD RENT,-850.00,RENT,1
2025-03-01,Rent Payment,LANDLORD RENT,-850.00,RENT,1
2025-01-15,Utilities,BRITISH GAS,-85.00,UTILITIES,1
2025-02-15,Utilities,BRITISH GAS,-88.00,UTILITIES,1
2025-03-15,Utilities,BRITISH GAS,-85.00,UTILITIES,1
2025-01-10,Netflix Subscription,NETFLIX.COM,-10.99,SUBSCRIPTION,1
2025-02-10,Netflix Subscription,NETFLIX.COM,-10.99,SUBSCRIPTION,1
2025-03-10,Netflix Subscription,NETFLIX.COM,-10.99,SUBSCRIPTION,1
2025-01-12,Spotify Premium,SPOTIFY,-9.99,SUBSCRIPTION,1
2025-02-12,Spotify Premium,SPOTIFY,-9.99,SUBSCRIPTION,1
2025-03-12,Spotify Premium,SPOTIFY,-9.99,SUBSCRIPTION,1
2024-12-15,Gym Membership,PUREGYM,-19.99,SUBSCRIPTION,1
2025-01-15,Gym Membership,PUREGYM,-19.99,SUBSCRIPTION,1
2025-01-05,Supermarket,TESCO,-45.23,FOOD,1
2025-01-12,Supermarket,SAINSBURYS,-52.80,FOOD,1
2025-01-18,Restaurant,NANDOS,-28.50,FOOD,1
2025-01-22,Coffee,STARBUCKS,-4.50,FOOD,1
2025-02-03,Supermarket,TESCO,-48.90,FOOD,1
2025-02-14,Restaurant,PIZZA EXPRESS,-35.00,FOOD,1
2025-02-20,Coffee,COSTA,-3.80,FOOD,1
2025-03-01,Supermarket,TESCO,-43.20,FOOD,1
2025-03-10,Restaurant,WAGAMAMA,-32.00,FOOD,1
2025-03-18,Coffee,STARBUCKS,-4.50,FOOD,1
2025-01-08,Transport,TFL,-15.40,TRANSPORT,1
2025-01-14,Transport,TFL,-18.20,TRANSPORT,1
2025-02-05,Transport,TFL,-16.80,TRANSPORT,1
2025-03-07,Transport,TFL,-15.40,TRANSPORT,1
2025-02-20,Electronics Purchase,ELECTRONICS STORE,-450.00,SHOPPING,1
2025-03-05,Clothing,H&M,-65.00,SHOPPING,1
2025-01-25,Council Tax,COUNCIL TAX,-120.00,UTILITIES,1
2025-02-25,Council Tax Holiday,COUNCIL TAX,0.00,UTILITIES,1
2025-03-25,Council Tax Holiday,COUNCIL TAX,0.00,UTILITIES,1
